brand,reply_volume,customer_mentions,threads_replied,completeness
AmazonHelp,169840,123492,155445,1.259
AppleSupport,106860,71375,106696,1.495
Uber_Support,56270,39443,55283,1.402
SpotifyCares,43265,27078,41734,1.541
Delta,42253,28260,36215,1.281
Tesco,38573,24532,25315,1.032
AmericanAir,36764,32790,36524,1.114
TMobileHelp,34317,17670,33909,1.919
comcastcares,33031,15126,30455,2.013
British_Airways,29361,23602,24108,1.021
SouthwestAir,28977,20652,28346,1.373
VirginTrains,27817,28808,26373,0.915
Ask_Spectrum,25860,18404,25165,1.367
XboxSupport,24557,22707,21305,0.938
sprintcare,22381,11300,20149,1.783
hulu_support,21872,16484,21570,1.309
sainsburys,19466,16228,17735,1.093
GWRHelp,19364,21803,18562,0.851
AskPlayStation,19098,20617,18669,0.906
ChipotleTweets,18749,13104,18578,1.418
VerizonSupport,17966,16215,17580,1.084
UPSHelp,17817,10664,17611,1.651
ATVIAssist,17650,18879,16896,0.895
O2,16212,14327,15974,1.115
Safaricom_Care,16077,14853,13911,0.937
idea_cares,15724,13565,12911,0.952
AskTarget,13218,6429,13143,2.044
AirAsiaSupport,12829,11768,10778,0.916
BofA_Help,12683,5385,9319,1.731
SW_Help,12231,13222,10278,0.777
ArgosHelpers,12174,10126,11467,1.132
AskLyft,11809,5455,11450,2.099
marksandspencer,11504,9093,10492,1.154
AskAmex,11358,8304,7973,0.96
MicrosoftHelps,11304,9475,8469,0.894
AskPayPal,11298,7864,11212,1.426
Morrisons,10126,7727,8572,1.109
AdobeCare,9917,6286,8234,1.31
airtel_care,9881,5512,7845,1.423
AskeBay,9686,7443,8767,1.178
AirbnbHelp,8875,5433,8403,1.547
ChaseSupport,8811,3663,8363,2.283
McDonalds,8478,2827,8406,2.973
AldiUK,8114,6527,7705,1.18
JetBlue,8020,6942,7183,1.035
CoxHelp,7861,5937,7306,1.231
Ask_WellsFargo,7578,2265,7376,3.257
AzureSupport,7565,4436,6414,1.446
AlaskaAir,7478,5434,7360,1.354
HPSupport,7200,4404,4446,1.01
LondonMidland,6822,7797,6242,0.801
GloCare,6308,6791,6165,0.908
DropboxSupport,5954,3469,4507,1.299
DellCares,5336,2521,2814,1.116
GreggsOfficial,4522,3865,4460,1.154
nationalrailenq,4444,4584,3920,0.855
VirginAtlantic,4318,4709,4195,0.891
TacoBellTeam,4082,2035,4078,2.004
AskCiti,4081,1685,2941,1.745
AskPapaJohns,3908,1731,3864,2.232
CenturyLinkHelp,3801,1666,3537,2.123
NikeSupport,3468,3652,3324,0.91
Postmates_Help,3346,2099,3331,1.587
VirginAmerica,2815,2311,2776,1.201
ATT,2790,2163,2631,1.216
Walmart,2643,672,2590,3.854
IHGService,2643,1032,2134,2.068
TfL,2243,2002,1895,0.947
askpanera,2153,716,2151,3.004
KFC_UKI_Help,2103,1436,2098,1.461
NortonSupport,2011,1230,1757,1.428
GoDaddyHelp,1965,1272,1867,1.468
ArbysCares,1904,715,1853,2.592
AsurionCares,1898,1572,1773,1.128
DoorDash_Help,1581,867,1568,1.809
sizehelpteam,1482,1862,1443,0.775
VMUcare,1381,899,1280,1.424
Kimpton,1339,722,1280,1.773
SCsupport,1329,1397,1025,0.734
DunkinDonuts,1290,851,1277,1.501
TwitterSupport,1290,817,1277,1.563
USCellularCares,1177,919,1160,1.262
NeweggService,1079,525,929,1.77
PandoraSupport,1043,499,1017,2.038
AWSSupport,1035,584,1019,1.745
AskRBC,1011,632,1002,1.585
AskVirginMoney,914,746,901,1.208
BoostCare,907,544,876,1.61
YahooCare,906,920,805,0.875
OPPOCareIN,879,554,815,1.471
PearsonSupport,841,419,790,1.885
HiltonHelp,833,337,815,2.418
GooglePlayMusic,804,785,802,1.022
MTNC_Care,784,511,735,1.438
AskTigogh,715,423,651,1.539
asksalesforce,710,420,677,1.612
askvisa,709,242,561,2.318
AskSeagate,639,630,526,0.835
MOO,630,338,593,1.754
ask_progressive,612,181,588,3.249
KeyBank_Help,555,368,517,1.405
